movie_id,title,audience,release_date,country,director,producer,actor1,actor2,actor3,genre,screen,running_time,rating,series,holiday
20050313,아치와 씨팍,100090,2006-06-28,한국,조범진,제이팀스튜디오(주),류승범,유현영,임창정,애니메이션|코미디|액션|SF|범죄,121,90,18세관람가,,9
20209029,아홉 스님,22329,2020-05-27,한국,윤성준,(주)퍼스트런,,,,드라마,141,71,전체관람가,,8
20183813,결백,861156,2020-06-10,한국,박상현,(주)이디오플랜,신혜선,배종옥,허준호,드라마,112,110,15세이상관람가,,8
20030094,원더풀 데이즈,,2003-07-17,한국,김문생,틴하우스(주),최지훈,오인성,은영선,애니메이션|액션,,87,전체관람가,,11
20149570,조선명탐정 : 사라진 놉의 딸,3872015,2015-02-11,한국,김석윤,청년필름(주),김명민,오달수,이연희,사극|코미디|어드벤처,825,124,12세이상관람가,"조선명탐정: 흡혈괴마의 비밀,조선명탐정: 각시투구꽃의 비밀",11
20179205,조선명탐정: 흡혈괴마의 비밀,2444136,2018-02-08,한국,김석윤,청년필름(주),김명민,오달수,김지원,사극|어드벤처|코미디,249,119,12세이상관람가,"조선명탐정 : 사라진 놉의 딸,조선명탐정: 각시투구꽃의 비밀",12
20202141,"관전, 섹스 과외",,2020-07-16,한국,최정자,주식회사 플릭스코,이채담,,,드라마|성인물(에로),,70,청소년관람불가,,9
20190470,이타미 준의 바다,23446,2019-08-15,한국,정다운,기린그림,쿠마 켄고,반 시게루,유이화,다큐멘터리,57,112,전체관람가,,12
20202206,가슴큰엄마친구,,2020-07-17,한국,이정석,,,,,멜로/로맨스,,61,청소년관람불가,,10
20205064,정사 : 친구의 엄마 3 무삭제,1,2020-07-16,한국,최찬호,(주)영화사가을,,,,멜로/로맨스,1,70,청소년관람불가,,9
20202604,음란한 시아버지와 며느리,1,2020-07-16,일본,잠파,,이마이,,,드라마|성인물(에로),1,60,청소년관람불가,,9
20202067,음란주택:노예가 된 아내 무삭제판,,2020-07-16,한국,한동호,주식회사 플릭스코,민도윤,,,드라마,,93,청소년관람불가,,9
20205185,비뇨기과 여의사들 2 무삭제,1,2020-07-16,한국,최민현,(주)영화사가을,,,,멜로/로맨스,1,92,청소년관람불가,,9
20202642,내 첫경험은 옆집 아줌마,1,2020-07-16,일본,잠파,,,,,드라마|성인물(에로),1,60,청소년관람불가,,9
20197202,기러기 아빠 : 20대 섹스 파트너들 무삭제,1,2020-07-16,한국,김환,(주)영화사가을,이은미,한석봉,,멜로/로맨스,1,72,청소년관람불가,,9
20147947,워킹걸,151584,2015-01-07,한국,정범식,(주)홍필름,조여정,클라라,김태우,코미디|멜로/로맨스,308,111,청소년관람불가,,8
20200162,소년시절의 너,24940,2020-07-09,중국,증국상,,주동우,,,멜로/로맨스|드라마|범죄|가족,252,135,15세이상관람가,,9
20202041,블리자드 오브 소울,,2020-07-16,기타,,,,,,기타,,108,15세이상관람가,,9
20191107,팡파레,1189,2020-07-09,한국,이돈구,디케이 프로덕션,임화영,남연우,이승원,드라마|스릴러|범죄,24,88,청소년관람불가,,9
20209961,지저귀는 새는 날지 않는다,1299,2020-07-16,일본,마키타 카오리,,신가키,하타노,,애니메이션,81,85,청소년관람불가,,9
20200836,트로이 디렉터스 컷,7424,2020-07-03,미국,볼프강 페터젠,플랜 비 엔터테인먼트,브래드 피트,에릭 바나,올랜도 블룸,전쟁|액션|드라마,159,196,청소년관람불가,,10
20200845,비바리움,2405,2020-07-16,미국,,,제시 아이젠버그,이모겐 푸츠,,미스터리|SF|공포(호러),128,97,15세이상관람가,,9
20197112,뮤지컬 브로드웨이 42번가,1712,2020-07-08,미국,마크 브램블,,보니 랭포드,,,뮤지컬,48,135,전체관람가,,8
20188364,맛있는 녀석들,90,2020-07-16,중국,순 하이펑,,,,,애니메이션,35,98,전체관람가,,9
20201962,래미의 드래곤월드 구출작전,32,2020-07-16,중국,웨이밍 황,,김경희,이소은,황창영,애니메이션,8,79,전체관람가,,9
20209954,광주비디오: 사라진 4시간,575,2020-07-16,한국,이조훈,(주)훈프로,,,,다큐멘터리,70,81,12세이상관람가,,9
20201221,컨택트 2020,6,2020-07-15,미국,,,,,,SF|미스터리,1,119,12세이상관람가,,8
20208983,시라이,897,2020-07-15,일본,,,이토요 마리에,소메타니 쇼타,,공포(호러),66,98,15세이상관람가,,8
20193450,반도,578519,2020-07-15,한국,연상호,(주)영화사레드피터,강동원,이정현,,액션|드라마,358,115,15세이상관람가,"부산행,서울역",8
20209685,딥워터,8044,2020-07-09,기타,요아힘 헤덴,,모아 감멜,매들린 마틴,,기타,264,81,12세이상관람가,,9
20209408,와일드 시티,4168,2020-06-17,영국,론 스캘펠로,,샘 클라플린,티모시 스폴,노엘 클락,액션,111,102,청소년관람불가,,8
19790164,지옥의 묵시록,550,1988-06-04,미국,프란시스 포드 코폴라,,말론 브란도,마틴 쉰,로버트 듀발,전쟁|드라마,1,147,고등학생이상관람가,,11
20010061,지옥의 묵시록 리덕스,2808,2001-08-30,미국,프란시스 포드 코폴라,,로버트 듀발,말론 브란도,마틴 쉰,전쟁|드라마,7,199,18세관람가,,9
20208887,16세의 사운드트랙,398,2020-07-02,영국,힐러리 셰익스피어,,제임스 캘로웨이,스칼렛 마셜,,코미디|멜로/로맨스,19,84,12세이상관람가,,9
20196938,트랜짓,3885,2020-07-02,독일,크리스티안 펫졸드,,프란츠 로고스키,폴라 비어,,드라마|SF,42,101,12세이상관람가,,9
20190461,프랑스여자,18369,2020-06-04,한국,김희정,(주)인벤트스톤,김호정,김지영,김영민,드라마,244,88,15세이상관람가,,9
20209362,도미노,2730,2020-06-11,덴마크,브라이언 드 팔마,,니콜라이 코스터 왈도,캐리스 밴 허슨,가이 피어스,범죄|스릴러,113,89,15세이상관람가,,9
20201385,모탈: 레전드 오브 토르,629,2020-07-09,기타,안드레 외브레달,,냇 울프,,,기타,28,103,12세이상관람가,,9
20200846,부산행:익스텐디드,4085,2020-07-01,한국,연상호,(주)영화사레드피터,공유,정유미,마동석,액션|스릴러,88,120,15세이상관람가,,8
20201841,부활,5001,2020-07-09,한국,구수환,(주)중헌홀딩스,,,,다큐멘터리,83,110,전체관람가,,9
20208828,불량한 가족,5258,2020-07-09,한국,장재일,(주)발자국 공장,박원상,도지한,,코미디|드라마,161,102,12세이상관람가,,9
20200909,스왈로우,1163,2020-07-03,미국,카를로 미라벨라 데이비스,,오스틴 스토웰,헤일리 베넷,,미스터리|스릴러,10,95,15세이상관람가,,10
20209802,국도극장: 감독판,918,2020-05-29,한국,전지희,명필름랩,이동휘,,,드라마,7,102,12세이상관람가,,10
20209163,카메론 포스트의 잘못된 교육,3630,2020-06-04,미국,데지레 아카반,,클로이 모레츠,제니퍼 엘,사샤 레인,드라마,108,91,15세이상관람가,,9
20182590,국도극장,394,2020-05-29,한국,전지희,명필름랩,이동휘,,,드라마,7,92,12세이상관람가,,10
20200304,테우리,343,2020-07-09,한국,이난,(주)26컴퍼니,서현우,한사명,서진원,드라마,16,85,15세이상관람가,,9
20200361,"아무튼, 아담",10267,2020-07-02,미국,,,아론 폴,레나 올린,섀넌 루치오,드라마,110,100,15세이상관람가,,9
20201284,김일성의 아이들,1467,2020-06-25,한국,김덕영,다큐스토리,,,,다큐멘터리|전쟁,13,84,전체관람가,,9
19930117,하워즈 엔드,970,1993-04-10,영국,제임스 아이보리,머천트 아이버리 프로덕션즈,안소니 홉킨스,엠마 톰슨,바네사 레드그레이브,드라마,7,142,12세이상관람가,,11
20192206,백두산,8252669,2019-12-19,한국,이해준,주식회사 덱스터 픽쳐스,이병헌,하정우,마동석,어드벤처|드라마,971,128,12세이상관람가,,11
20201302,간기녀 - 간통을 기다리는 여자,60,2020-07-13,한국,,(주)디어프로덕션,,,,성인물(에로),1,73,청소년관람불가,,8
20204644,밤쉘: 세상을 바꾼 폭탄선언,118013,2020-07-08,미국,제이 로치,,샤를리즈 테론,니콜 키드먼,마고 로비,드라마,882,108,15세이상관람가,,8
19869056,미션,36350,1986-12-24,영국,롤랑 조페,,로버트 드 니로,제레미 아이언스,에이단 퀸,드라마,57,125,12세이상관람가,,11
20184678,배반의 장미,41054,2018-10-18,한국,박진영,(주)태원엔터테인먼트,김인권,정상훈,손담비,코미디,457,98,15세이상관람가,,9
20192751,찬실이는 복도 많지,26754,2020-03-05,한국,김초희,(주)지이프로덕션,강말금,,,드라마|멜로/로맨스|판타지,241,95,전체관람가,,9
20209644,엔딩스 비기닝스,13349,2020-06-24,미국,드레이크 도리머스,씨제이이앤엠(주),쉐일린,제이미,세바스찬,드라마|멜로/로맨스,251,110,15세이상관람가,,8
20200490,제인의 썸머,2182,2020-06-18,한국,송은주,(주)키다리이엔티,서나영,이해준,김하림,멜로/로맨스,43,89,청소년관람불가,,9
20201693,아랑의 은밀한 성감대 - 무삭제,1,2020-07-09,한국,성기만,,,,,멜로/로맨스,1,93,청소년관람불가,,9
20201241,베토벤 프로젝트,281,2020-07-12,독일,존 노이마이어,,,,,공연,13,139,전체관람가,,9
20201781,흐느끼는 숙모,1,2020-07-10,한국,천성준,(주)케이피에이기획,민도윤,한석봉,,멜로/로맨스,1,65,청소년관람불가,,10
20202308,범해진 신부 무삭제판,1,2020-07-10,일본,히이라기 엔부,,,,,멜로/로맨스|드라마,1,80,청소년관람불가,,10
20202458,가슴 큰 태희-무삭제판,60,2020-07-10,한국,이동준,미라클필름,,,,멜로/로맨스,1,101,청소년관람불가,,10
20196781,우리를 갈라놓는 것들,1836,2019-11-28,한국,임흥순,반달,,,,다큐멘터리,15,99,12세이상관람가,,10
20193859,사라진 시간,185770,2020-06-18,한국,정진영,(주)비에이엔터테인먼트,조진웅,배수빈,정해균,미스터리|드라마,874,104,15세이상관람가,,9
20190465,욕창,1205,2020-07-02,한국,심혜정,,김종구,강애심,전국향,드라마,17,99,12세이상관람가,,9
20183791,바다로 가자,1280,2020-06-18,한국,김량,ZONE film,김주영,이광자,조영진,다큐멘터리,15,71,전체관람가,,9
20196702,야구소녀,35266,2020-06-18,한국,최윤태,한국영화아카데미,이주영,이준혁,염혜란,드라마,264,104,12세이상관람가,,9
20194301,백년의 기억,468,2020-06-11,프랑스,피에르 올리비에 프랑수아,,,,,다큐멘터리,6,112,전체관람가,,9
20201184,성인 신고식,1,2020-07-07,한국,한동호,주식회사 플릭스코,조용복,,,드라마|성인물(에로),1,70,청소년관람불가,,8
20200083,해피 디 데이,4163,2020-07-01,미국,켄 마리노,,바네사 허진스,핀 울프하드,에바 롱고리아,코미디|드라마|멜로/로맨스,153,113,전체관람가,,8
20141702,위로공단,14529,2015-08-13,한국,임흥순,반달,강명자,김영미,김진숙,다큐멘터리,34,94,15세이상관람가,,10
20201181,피그테일:피그테일과 거미소녀 그리고 레슬링,99,2020-07-09,일본,카이야 토시히사,,,,,애니메이션,12,65,15세이상관람가,,9
20201551,오르가즘 하숙집,1,2020-07-09,한국,김레이,,한석봉,,,멜로/로맨스,1,80,청소년관람불가,,9
20178395,12 솔져스,223740,2018-01-31,미국,니콜라이 퓰시,,크리스 헴스워스,마이클 섀넌,마이클 페나,액션|드라마|전쟁,211,130,15세이상관람가,,11
20176848,데드풀 2,3784602,2018-05-16,미국,데이빗 레이치,,라이언 레이놀즈,조슈 브롤린,재지 비츠,액션|어드벤처|코미디|SF,576,117,청소년관람불가,"데드풀2: 순한 맛,데드풀",11
20173901,존 윅: 특별판,34,2017-03-30,미국,데이빗 레이치,,키아누 리브스,,,액션|드라마,5,107,청소년관람불가,,9
20040784,시티 오브 갓,8414,2005-11-04,미국,페르난도 메이렐레스,와일드 번치,알렉산드레 로드리게즈,레안드로 피르미노,,드라마|액션|스릴러|범죄,13,129,18세관람가,,10
20193263,너와 파도를 탈 수 있다면,9025,2020-07-08,일본,유아사 마사아키,,카타요세 료타,카와에이 리나,마츠모토 호노카,애니메이션|멜로/로맨스,257,95,12세이상관람가,,8
20208182,그레텔과 헨젤,12447,2020-07-08,캐나다,오즈 퍼킨스,,소피아 릴리스,앨리스 크리지,,판타지|미스터리,325,87,15세이상관람가,,8
20202173,잘 주는 유부녀들 무삭제판,1,2020-07-07,일본,아카바네 키쿠지로,,,,,멜로/로맨스|드라마,1,80,청소년관람불가,,8
20202172,뭐든 잘 주는 새엄마,1,2020-07-07,일본,키무라 히로유키,,,,,멜로/로맨스|드라마,1,64,청소년관람불가,,8
20202171,며느리의 속사정,1,2020-07-07,일본,버드맨 텟페이,,,,,멜로/로맨스|드라마,1,70,청소년관람불가,,8
20202101,남편 부하에게 타락되어 젖는 육체,1,2020-07-07,일본,비바 곤조,,아베 칸나,,,드라마|성인물(에로),1,63,청소년관람불가,,8
20184243,판소리 복서,26881,2019-10-09,한국,정혁기,(주)바른손,엄태구,이혜리,김희원,코미디|드라마,345,113,12세이상관람가,,9
20209430,열혈형사,2491,2020-06-18,한국,윤여창,굿픽처스,김인권,김승현,하주희,코미디,121,97,12세이상관람가,,9
20193069,#살아있다,1827223,2020-06-24,한국,조일형,영화사 집,유아인,박신혜,,드라마,882,97,15세이상관람가,,8
20080587,홍길동,68,1967-01-21,한국,신동헌,세기상사㈜,,,,애니메이션|드라마|액션|사극,1,80,15세이상관람가,,10
20040514,바람의 전설,97925,2004-04-09,한국,박정우,필름매니아(주),이성재,박솔미,,드라마,42,132,15세관람가,,11
20207432,말할 수 없는 비밀:이모와의 관계,19,2020-07-06,한국,윤준세,(주)영진크리에이티브,,,,멜로/로맨스|드라마,17,79,청소년관람불가,,8
20207409,19금 불륜소설 무삭제판,1,2020-07-06,한국,윤준세,(주)영진크리에이티브,,,,멜로/로맨스|드라마,1,84,청소년관람불가,,8
20101392,소중한 날의 꿈,53248,2011-06-23,한국,안재훈,(주)연필로명상하기,박신혜,오연서,송창의,애니메이션|드라마,128,100,전체관람가,,9
